date,temperature
01.01.2020 00:10:00,0.71
01.01.2020 00:20:00,0.75
01.01.2020 00:30:00,0.73
01.01.2020 00:40:00,0.37
01.01.2020 00:50:00,0.33
01.01.2020 01:00:00,0.34
01.01.2020 01:10:00,0.19
01.01.2020 01:20:00,0.03
01.01.2020 01:30:00,0.11
01.01.2020 01:40:00,0.22
01.01.2020 01:50:00,-0.04
01.01.2020 02:00:00,-0.21
01.01.2020 02:10:00,-0.1
01.01.2020 02:20:00,-0.16
01.01.2020 02:30:00,-0.22
01.01.2020 02:40:00,-0.06
01.01.2020 02:50:00,-0.17
01.01.2020 03:00:00,-0.05
01.01.2020 03:10:00,-0.21
01.01.2020 03:20:00,-0.77
01.01.2020 03:30:00,-0.93
01.01.2020 03:40:00,-0.86
01.01.2020 03:50:00,-0.87
01.01.2020 04:00:00,-1.02
01.01.2020 04:10:00,-1.15
01.01.2020 04:20:00,-1.08
01.01.2020 04:30:00,-1.59
01.01.2020 04:40:00,-1.82
01.01.2020 04:50:00,-1.84
01.01.2020 05:00:00,-1.84
01.01.2020 05:10:00,-2.14
01.01.2020 05:20:00,-2.34
01.01.2020 05:30:00,-2.2
01.01.2020 05:40:00,-2.3
01.01.2020 05:50:00,-2.4
01.01.2020 06:00:00,-2.51
01.01.2020 06:10:00,-2.83
01.01.2020 06:20:00,-2.79
01.01.2020 06:30:00,-2.74
01.01.2020 06:40:00,-2.63
01.01.2020 06:50:00,-2.5
01.01.2020 07:00:00,-2.26
01.01.2020 07:10:00,-2.31
01.01.2020 07:20:00,-2.53
01.01.2020 07:30:00,-2.68
01.01.2020 07:40:00,-2.73
01.01.2020 07:50:00,-2.79
01.01.2020 08:00:00,-2.84
01.01.2020 08:10:00,-2.89
01.01.2020 08:20:00,-3.02
01.01.2020 08:30:00,-2.84
01.01.2020 08:40:00,-2.91
01.01.2020 08:50:00,-3.11
01.01.2020 09:00:00,-3.08
01.01.2020 09:10:00,-3.03
01.01.2020 09:20:00,-2.95
01.01.2020 09:30:00,-3.01
01.01.2020 09:40:00,-2.84
01.01.2020 09:50:00,-2.67
01.01.2020 10:00:00,-1.93
01.01.2020 10:10:00,-1.53
01.01.2020 10:20:00,-1.25
01.01.2020 10:30:00,-1.24
01.01.2020 10:40:00,-1.32
01.01.2020 10:50:00,-1.03
01.01.2020 11:00:00,-1.14
01.01.2020 11:10:00,-0.83
01.01.2020 11:20:00,-0.65
01.01.2020 11:30:00,-0.43
01.01.2020 11:40:00,-0.4
01.01.2020 11:50:00,-0.06
01.01.2020 12:00:00,0.68
01.01.2020 12:10:00,0.93
01.01.2020 12:20:00,1.23
01.01.2020 12:30:00,1.7
01.01.2020 12:40:00,1.98
01.01.2020 12:50:00,2.62
01.01.2020 13:00:00,2.83
01.01.2020 13:10:00,2.87
01.01.2020 13:20:00,3.09
01.01.2020 13:30:00,3.86
01.01.2020 13:40:00,3.84
01.01.2020 13:50:00,4.03
01.01.2020 14:00:00,3.7
01.01.2020 14:10:00,3.45
01.01.2020 14:20:00,3.64
01.01.2020 14:30:00,3.89
01.01.2020 14:40:00,3.87
01.01.2020 14:50:00,4.32
01.01.2020 15:00:00,4.58
01.01.2020 15:10:00,4.2
01.01.2020 15:20:00,4.07
01.01.2020 15:30:00,4.44
01.01.2020 15:40:00,4.5
01.01.2020 15:50:00,4.34
01.01.2020 16:00:00,3.74
01.01.2020 16:10:00,3.23
01.01.2020 16:20:00,2.99
01.01.2020 16:30:00,2.89
01.01.2020 16:40:00,2.77
01.01.2020 16:50:00,2.6
01.01.2020 17:00:00,2.09
01.01.2020 17:10:00,1.63
01.01.2020 17:20:00,1.26
01.01.2020 17:30:00,1.03
01.01.2020 17:40:00,0.99
01.01.2020 17:50:00,0.85
01.01.2020 18:00:00,0.63
01.01.2020 18:10:00,0.35
01.01.2020 18:20:00,0.05
01.01.2020 18:30:00,-0.08
01.01.2020 18:40:00,-0.21
01.01.2020 18:50:00,-0.62
01.01.2020 19:00:00,-1.32
01.01.2020 19:10:00,-1.42
01.01.2020 19:20:00,-1.31
01.01.2020 19:30:00,-1.33
01.01.2020 19:40:00,-1.38
01.01.2020 19:50:00,-1.36
01.01.2020 20:00:00,-1.48
01.01.2020 20:10:00,-1.86
01.01.2020 20:20:00,-2.15
01.01.2020 20:30:00,-2.18
01.01.2020 20:40:00,-2.24
01.01.2020 20:50:00,-2.57
01.01.2020 21:00:00,-2.78
01.01.2020 21:10:00,-2.85
01.01.2020 21:20:00,-2.95
01.01.2020 21:30:00,-3.21
01.01.2020 21:40:00,-3.06
01.01.2020 21:50:00,-3
01.01.2020 22:00:00,-3.21
01.01.2020 22:10:00,-3.27
01.01.2020 22:20:00,-3.31
01.01.2020 22:30:00,-3.39
01.01.2020 22:40:00,-3.35
01.01.2020 22:50:00,-3.29
01.01.2020 23:00:00,-3.19
01.01.2020 23:10:00,-3.2
01.01.2020 23:20:00,-3.32
01.01.2020 23:30:00,-3.09
01.01.2020 23:40:00,-2.96
01.01.2020 23:50:00,-3.46
02.01.2020 00:00:00,-3.39
02.01.2020 00:10:00,-3.47
02.01.2020 00:20:00,-3.94
02.01.2020 00:30:00,-3.91
02.01.2020 00:40:00,-3.86
02.01.2020 00:50:00,-3.88
02.01.2020 01:00:00,-4.23
02.01.2020 01:10:00,-4.42
02.01.2020 01:20:00,-4.42
02.01.2020 01:30:00,-4.5
02.01.2020 01:40:00,-4.31
02.01.2020 01:50:00,-4.25
02.01.2020 02:00:00,-4.2
02.01.2020 02:10:00,-3.98
02.01.2020 02:20:00,-4.07
02.01.2020 02:30:00,-4.56
02.01.2020 02:40:00,-4.78
02.01.2020 02:50:00,-4.85
02.01.2020 03:00:00,-4.86
02.01.2020 03:10:00,-4.88
02.01.2020 03:20:00,-4.91
02.01.2020 03:30:00,-4.81
02.01.2020 03:40:00,-5.03
02.01.2020 03:50:00,-5.12
02.01.2020 04:00:00,-4.72
02.01.2020 04:10:00,-4.45
02.01.2020 04:20:00,-4.54
02.01.2020 04:30:00,-5.02
02.01.2020 04:40:00,-5.39
02.01.2020 04:50:00,-5.48
02.01.2020 05:00:00,-5.43
02.01.2020 05:10:00,-4.96
02.01.2020 05:20:00,-4.87
02.01.2020 05:30:00,-5.22
02.01.2020 05:40:00,-5.43
02.01.2020 05:50:00,-5.53
02.01.2020 06:00:00,-5.45
02.01.2020 06:10:00,-5.58
02.01.2020 06:20:00,-5.78
02.01.2020 06:30:00,-5.69
02.01.2020 06:40:00,-5.44
02.01.2020 06:50:00,-5.46
02.01.2020 07:00:00,-5.47
02.01.2020 07:10:00,-5.05
02.01.2020 07:20:00,-4.94
02.01.2020 07:30:00,-4.8
02.01.2020 07:40:00,-4.91
02.01.2020 07:50:00,-5.12
02.01.2020 08:00:00,-5.13
02.01.2020 08:10:00,-5.58
02.01.2020 08:20:00,-5.66
02.01.2020 08:30:00,-5.44
02.01.2020 08:40:00,-4.73
02.01.2020 08:50:00,-4.44
02.01.2020 09:00:00,-4.39
02.01.2020 09:10:00,-4.71
02.01.2020 09:20:00,-4.68
02.01.2020 09:30:00,-4.13
02.01.2020 09:40:00,-4.07
02.01.2020 09:50:00,-4.04
02.01.2020 10:00:00,-4.16
02.01.2020 10:10:00,-3.81
02.01.2020 10:20:00,-3.53
02.01.2020 10:30:00,-3.02
02.01.2020 10:40:00,-2.78
02.01.2020 10:50:00,-1.87
02.01.2020 11:00:00,-1.24
02.01.2020 11:10:00,-0.91
02.01.2020 11:20:00,-0.56
02.01.2020 11:30:00,-0.59
02.01.2020 11:40:00,-0.19
02.01.2020 11:50:00,0.48
02.01.2020 12:00:00,1.06
02.01.2020 12:10:00,1.8
02.01.2020 12:20:00,1.92
02.01.2020 12:30:00,2.72
02.01.2020 12:40:00,3.47
02.01.2020 12:50:00,4.37
02.01.2020 13:00:00,4.98
02.01.2020 13:10:00,5.58
02.01.2020 13:20:00,5.73
02.01.2020 13:30:00,6.06
02.01.2020 13:40:00,6.47
02.01.2020 13:50:00,6.47
02.01.2020 14:00:00,6.22
02.01.2020 14:10:00,5.88
02.01.2020 14:20:00,5.71
02.01.2020 14:30:00,5.91
02.01.2020 14:40:00,5.7
02.01.2020 14:50:00,5.41
02.01.2020 15:00:00,5.66
02.01.2020 15:10:00,5.77
02.01.2020 15:20:00,5.61
02.01.2020 15:30:00,5.47
02.01.2020 15:40:00,5.49
02.01.2020 15:50:00,4.96
02.01.2020 16:00:00,4.28
02.01.2020 16:10:00,3.69
02.01.2020 16:20:00,3.36
02.01.2020 16:30:00,3.25
02.01.2020 16:40:00,3.18
02.01.2020 16:50:00,3.06
02.01.2020 17:00:00,2.88
02.01.2020 17:10:00,2.61
02.01.2020 17:20:00,2.32
02.01.2020 17:30:00,1.91
02.01.2020 17:40:00,1.42
02.01.2020 17:50:00,1.41
02.01.2020 18:00:00,1.41
02.01.2020 18:10:00,1.12
02.01.2020 18:20:00,1.16
02.01.2020 18:30:00,0.91
02.01.2020 18:40:00,0.62
02.01.2020 18:50:00,0.15
02.01.2020 19:00:00,-0.08
02.01.2020 19:10:00,-0.22
02.01.2020 19:20:00,-0.25
02.01.2020 19:30:00,-0.47
02.01.2020 19:40:00,-0.46
02.01.2020 19:50:00,-0.71
02.01.2020 20:00:00,-0.29
02.01.2020 20:10:00,-0.36
02.01.2020 20:20:00,-0.52
02.01.2020 20:30:00,-0.56
02.01.2020 20:40:00,-0.53
02.01.2020 20:50:00,-0.59
02.01.2020 21:00:00,-0.49
02.01.2020 21:10:00,-0.42
02.01.2020 21:20:00,-0.19
02.01.2020 21:30:00,-0.07
02.01.2020 21:40:00,-0.01
02.01.2020 21:50:00,0.06
02.01.2020 22:00:00,0.09
02.01.2020 22:10:00,0.33
02.01.2020 22:20:00,0.47
02.01.2020 22:30:00,0.35
02.01.2020 22:40:00,0.22
02.01.2020 22:50:00,0.26
02.01.2020 23:00:00,0.25
02.01.2020 23:10:00,0.46
02.01.2020 23:20:00,0.74
02.01.2020 23:30:00,0.79
02.01.2020 23:40:00,0.72
02.01.2020 23:50:00,0.75
03.01.2020 00:00:00,0.88
03.01.2020 00:10:00,0.93
03.01.2020 00:20:00,0.88
03.01.2020 00:30:00,0.69
03.01.2020 00:40:00,0.74
03.01.2020 00:50:00,0.92
03.01.2020 01:00:00,1.42
03.01.2020 01:10:00,1.67
03.01.2020 01:20:00,1.9
03.01.2020 01:30:00,1.99
03.01.2020 01:40:00,2.01
03.01.2020 01:50:00,2.08
03.01.2020 02:00:00,1.96
03.01.2020 02:10:00,1.78
03.01.2020 02:20:00,1.63
03.01.2020 02:30:00,1.54
03.01.2020 02:40:00,1.57
03.01.2020 02:50:00,1.74
03.01.2020 03:00:00,1.92
03.01.2020 03:10:00,2.38
03.01.2020 03:20:00,2.65
03.01.2020 03:30:00,2.95
03.01.2020 03:40:00,3.07
03.01.2020 03:50:00,3.25
03.01.2020 04:00:00,3.05
03.01.2020 04:10:00,2.87
03.01.2020 04:20:00,2.84
03.01.2020 04:30:00,2.9
03.01.2020 04:40:00,2.95
03.01.2020 04:50:00,3.14
03.01.2020 05:00:00,3.26
03.01.2020 05:10:00,3.27
03.01.2020 05:20:00,3.27
03.01.2020 05:30:00,3.11
03.01.2020 05:40:00,2.5
03.01.2020 05:50:00,2.32
03.01.2020 06:00:00,2.33
03.01.2020 06:10:00,2.44
03.01.2020 06:20:00,2.57
03.01.2020 06:30:00,2.62
03.01.2020 06:40:00,2.67
03.01.2020 06:50:00,2.65
03.01.2020 07:00:00,2.62
03.01.2020 07:10:00,2.66
03.01.2020 07:20:00,2.71
03.01.2020 07:30:00,2.8
03.01.2020 07:40:00,2.88
03.01.2020 07:50:00,3.09
03.01.2020 08:00:00,3.37
03.01.2020 08:10:00,3.79
03.01.2020 08:20:00,3.92
03.01.2020 08:30:00,3.93
03.01.2020 08:40:00,3.61
03.01.2020 08:50:00,3.38
03.01.2020 09:00:00,3.3
03.01.2020 09:10:00,3.47
03.01.2020 09:20:00,3.39
03.01.2020 09:30:00,3.27
03.01.2020 09:40:00,3.27
03.01.2020 09:50:00,3.29
03.01.2020 10:00:00,3.32
03.01.2020 10:10:00,3.41
03.01.2020 10:20:00,3.5
03.01.2020 10:30:00,3.57
03.01.2020 10:40:00,3.7
